Temperature,46.002
Humidity,28.766
Temperature,33.716
Humidity,39.273
Temperature,53.22
Humidity,15.789
Temperature,9.069
Humidity,16.356
Temperature,22.116
Humidity,17.789
Temperature,34.683
Humidity,35.979
Temperature,46.427
Humidity,39.053
Temperature,52.303
Humidity,35.868
Temperature,46.062
Humidity,39.858
Temperature,29.394
Humidity,39.534
Temperature,13.878
Humidity,23.015
Temperature,40.017
Humidity,26.301
Temperature,5.542
Humidity,34.022
Temperature,45.246
Humidity,38.329
Temperature,9.871
Humidity,32.628
Temperature,3.373
Humidity,20.117
